illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-49.0,0.007,0.014,0.0269,0.0114,True,
-42.0,0.0081,0.0135,0.0162,0.0068,True,
-35.0,0.0108,0.0183,0.0031,0.0019,True,
-28.0,0.0189,0.0233,0.0013,0.0013,True,
-21.0,0.0098,0.0322,0.0092,0.0079,True,
-14.0,0.0331,0.0453,0.0024,0.0035,True,
-7.0,0.0644,0.0619,0.0047,0.0082,True,
0.0,0.0515,0.0757,0.0072,0.011,True,
7.0,0.2072,0.1178,0.0145,0.0199,True,
14.0,0.2367,0.1136,0.0137,0.0184,True,
21.0,0.2245,0.0875,0.0089,0.012,True,
28.0,0.2785,0.0534,0.0168,0.0256,True,
35.0,0.3136,0.2741,0.0668,0.0912,True,
42.0,0.3346,0.4173,0.1046,0.1542,True,
49.0,0.4053,0.691,0.1791,0.3186,True,
