illusion_strength,pse,sigma,pse_se,sigma_se,fit_success,note
-49.0,0.007,0.0142,0.0286,0.0123,True,
-42.0,0.0081,0.0137,0.0172,0.0074,True,
-35.0,0.011,0.0188,0.0033,0.0021,True,
-28.0,0.0203,0.0235,0.0014,0.0015,True,
-21.0,0.0104,0.0343,0.0106,0.0095,True,
-14.0,0.0353,0.0462,0.0027,0.004,True,
-7.0,0.0697,0.0622,0.006,0.0104,True,
0.0,0.0502,0.0784,0.01,0.0149,True,
7.0,0.2184,0.1313,0.0187,0.0257,True,
14.0,0.2405,0.1141,0.0157,0.021,True,
21.0,0.2316,0.0852,0.0115,0.0156,True,
28.0,0.2846,0.0514,0.0186,0.028,True,
35.0,0.3721,0.421,0.1489,0.2217,True,
42.0,0.5436,0.7585,0.4211,0.6415,True,
49.0,1.0,1.7074,1.8066,3.1174,True,
